RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,INDP,MSP,OC,OCCP10,PERNP,PINCP,RAC1P,RC
P,2.01E+12,2,1501,-9,22,1094136,15,41,1,1,1,14,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,3,1501,-9,22,1094136,11,19,5,2,3,16,1,5000,1,1,8680,6,0,4130,5000,5000,1,0
P,2.01E+12,4,1501,-9,22,1094136,12,18,5,2,2,14,1,4700,1,1,8680,6,0,4150,4700,4700,1,0
P,2.01E+12,5,1501,-9,22,1094136,9,16,5,2,3,14,2,0,3,1,7890,6,1,2540,0,0,1,1
P,2.01E+12,6,1501,-9,22,1094136,9,15,5,2,2,12,2,0,,1,,6,1,,,1600,1,1
P,2.01E+12,7,1501,-9,22,1094136,19,53,5,5,1,21,1,0,6,1,,6,0,,0,9100,1,0
P,2.01E+12,8,1501,-9,22,1094136,25,16,5,10,2,13,1,0,6,1,,6,0,,0,0,1,1
P,2.01E+12,1,1600,-9,22,1094136,14,32,1,0,1,21,2,0,6,1,6480,1,0,4800,0,0,1,0
P,2.01E+12,2,1600,-9,22,1094136,19,32,1,1,1,21,1,120000,1,1,6990,1,0,5000,120000,156000,1,0
P,2.01E+12,3,1600,-9,22,1094136,19,7,5,2,3,4,1,,,1,,,1,,,,1,1
P,2.01E+12,4,1600,-9,22,1094136,22,4,5,2,3,2,1,,,1,,,1,,,,1,1
P,2.01E+12,5,1600,-9,22,1094136,22,2,5,2,,,1,,,1,,,1,,,,1,1
P,2.01E+12,1,1300,-9,22,1094136,21,63,5,0,1,20,1,52000,1,1,9160,6,0,2040,52000,77000,1,0
P,2.01E+12,1,1600,-9,22,1094136,13,57,1,0,1,22,2,57000,1,1,7860,1,0,2310,57000,82000,2,0
P,2.01E+12,2,1600,-9,22,1094136,20,57,1,1,1,21,1,65000,1,1,7280,1,0,800,65000,65000,2,0
P,2.01E+12,1,1501,-9,22,1094136,12,77,2,0,1,9,2,0,6,1,,3,0,,0,8300,2,0
P,2.01E+12,1,1501,-9,22,1094136,18,53,5,0,1,13,1,0,6,1,7790,6,0,9720,0,2400,2,0
P,2.01E+12,2,1501,-9,22,1094136,16,68,2,5,1,16,1,0,6,1,,3,0,,0,12900,2,0
P,2.01E+12,3,1501,-9,22,1094136,23,41,5,10,1,14,1,26000,1,1,8680,6,0,4020,26000,26000,2,0
P,2.01E+12,1,1502,-9,22,1094136,15,41,5,0,1,19,1,21000,1,1,4670,6,0,4760,33000,33000,1,0
P,2.01E+12,1,1600,-9,22,1094136,21,19,1,0,1,17,1,20000,1,1,770,1,0,6200,20000,20000,1,0
P,2.01E+12,2,1600,-9,22,1094136,18,25,1,1,1,16,2,17800,1,1,7690,1,0,4220,17800,17800,1,0
P,2.01E+12,1,1600,-9,22,1094136,27,84,1,0,1,16,1,0,6,1,,1,0,,0,25500,1,0
P,2.01E+12,2,1600,-9,22,1094136,22,79,1,1,1,16,2,0,6,1,,1,0,,0,24000,1,0
P,2.01E+12,1,1401,-9,22,1094136,19,50,1,0,1,21,1,60000,1,1,290,1,0,205,60000,60000,2,0
P,2.01E+12,2,1401,-9,22,1094136,13,51,1,1,1,22,2,80000,1,1,3380,1,0,7700,80000,80000,2,0
P,2.01E+12,3,1401,-9,22,1094136,19,15,1,2,3,11,1,0,,1,,2,0,,,0,2,1
P,2.01E+12,1,1600,-9,22,1094136,21,31,1,0,1,15,1,100000,1,1,6090,1,0,9310,103000,103000,1,0
P,2.01E+12,2,1600,-9,22,1094136,23,33,1,1,2,16,2,35000,1,1,5070,1,0,9130,42000,42000,2,0
P,2.01E+12,3,1600,-9,22,1094136,19,13,5,4,2,10,1,,,1,,,1,,,,2,1
P,2.01E+12,1,1600,-9,22,1094136,7,60,1,0,1,19,1,65000,1,1,2170,1,0,1720,65000,65000,2,0
P,2.01E+12,2,1600,-9,22,1094136,6,43,1,1,1,23,2,150000,1,1,7480,1,0,3250,150000,150000,1,0
P,2.01E+12,3,1600,-9,22,1094136,3,4,5,2,3,1,2,,,1,,,1,,,,8,1
P,2.01E+12,4,1600,-9,22,1094136,3,1,5,2,,,2,,,1,,,1,,,,8,1
P,2.01E+12,1,1300,-9,22,1094136,14,39,5,0,1,16,2,5000,3,1,4970,6,0,4720,5000,5000,2,0
P,2.01E+12,2,1300,-9,22,1094136,19,4,5,2,2,1,1,,,1,,,1,,,,2,1
P,2.01E+12,1,1501,-9,22,1094136,12,51,2,0,1,17,2,0,3,1,9480,3,0,5400,0,5000,2,0
P,2.01E+12,1,1401,-9,22,1094136,15,83,2,0,1,12,2,0,6,1,,3,0,,0,12000,1,0
P,2.01E+12,1,1402,-9,22,1094136,21,22,5,0,2,21,2,15000,6,1,9190,6,0,4350,15000,15000,1,0
P,2.01E+12,2,1402,-9,22,1094136,28,25,5,12,2,21,2,32000,1,1,180,6,0,205,32000,32000,1,0
P,2.01E+12,1,1300,-9,22,1094136,18,87,2,16,1,18,1,0,6,1,,3,0,,0,12000,1,0
P,2.01E+12,1,1401,-9,22,1094136,21,54,1,0,1,16,2,0,1,1,8980,1,0,4510,8800,8800,1,0
P,2.01E+12,2,1401,-9,22,1094136,20,52,1,1,1,16,1,81000,1,1,770,1,0,6200,81000,81000,1,0
P,2.01E+12,1,1600,-9,22,1094136,21,36,1,0,1,16,2,1000,6,1,7860,1,0,2540,1000,1000,1,0
P,2.01E+12,2,1600,-9,22,1094136,19,32,1,1,1,21,1,89000,1,1,2070,1,0,7700,89000,89000,1,0
P,2.01E+12,3,1600,-9,22,1094136,25,9,5,2,2,6,1,,,1,,,1,,,,1,1
P,2.01E+12,4,1600,-9,22,1094136,25,6,5,2,2,3,1,,,1,,,1,,,,1,1
P,2.01E+12,1,1401,-9,22,1094136,39,36,1,0,1,16,1,64000,1,1,9470,1,0,3850,64000,64000,1,0
P,2.01E+12,2,1401,-9,22,1094136,20,33,1,1,1,18,2,0,6,2,,1,0,,0,0,1,0
P,2.01E+12,3,1401,-9,22,1094136,38,7,5,2,2,3,1,,,1,,,1,,,,1,1
P,2.01E+12,4,1401,-9,22,1094136,50,3,5,2,3,1,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1501,-9,22,1094136,33,38,5,0,1,21,1,70000,1,1,2170,6,0,1920,70000,70000,1,0
P,2.01E+12,2,1501,-9,22,1094136,41,41,3,13,1,19,2,35000,1,1,8690,4,0,4010,35000,35000,1,0
P,2.01E+12,1,1402,-9,22,1094136,34,60,3,0,1,18,1,45000,1,1,6080,4,0,9200,45000,58500,2,0
P,2.01E+12,2,1402,-9,22,1094136,29,46,5,13,1,19,2,28000,1,1,8660,6,0,5700,28000,28000,2,0
P,2.01E+12,1,1402,-9,22,1094136,13,58,1,0,1,23,1,292000,1,1,2180,1,0,10,292000,327900,1,0
P,2.01E+12,2,1402,-9,22,1094136,12,59,1,1,1,21,2,0,6,1,,1,0,,0,0,1,0
P,2.01E+12,3,1402,-9,22,1094136,15,4,5,7,3,1,2,,,1,,,0,,,,1,1
P,2.01E+12,1,1502,-9,22,1094136,16,40,1,0,1,21,1,80000,1,1,2290,1,0,1920,80000,80500,6,0
P,2.01E+12,2,1502,-9,22,1094136,16,36,1,1,1,21,2,0,6,1,7280,1,0,940,0,180,6,0
P,2.01E+12,3,1502,-9,22,1094136,16,5,5,2,2,2,2,,,1,,,1,,,,6,1
P,2.01E+12,4,1502,-9,22,1094136,16,2,5,2,,,1,,,1,,,1,,,,6,1
P,2.01E+12,1,1402,-9,22,1094136,19,43,1,0,1,22,1,100000,1,11,2670,1,0,1460,100000,100000,1,0
P,2.01E+12,2,1402,-9,22,1094136,11,29,1,1,1,22,2,60000,3,1,7390,1,0,710,60000,60000,1,0
P,2.01E+12,1,1401,-9,22,1094136,15,73,1,0,1,21,1,0,6,1,,1,0,,0,49400,2,0
P,2.01E+12,2,1401,-9,22,1094136,17,70,1,1,1,17,2,0,6,1,,1,0,,0,5400,2,0
P,2.01E+12,1,1401,-9,22,1094136,10,65,1,0,1,23,1,0,1,1,7270,1,0,2100,40000,75000,2,0
P,2.01E+12,2,1401,-9,22,1094136,12,62,1,1,1,22,2,85000,1,1,7870,1,0,10,85000,85000,2,0
P,2.01E+12,1,1401,-9,22,1094136,46,27,5,0,1,21,2,50000,1,1,7860,6,0,2320,50000,50000,1,0
